ID,IRI,PREF_LABEL,DEFINITION
1,http://pid.geoscience.gov.au/def/voc/ga/materialtype/adsorbed_phase,adsorbed phase,An ion attached to the surface of a mineral
2,http://pid.geoscience.gov.au/def/voc/ga/materialtype/air,air,The composite gas comprising the Earth's atmosphere.
3,http://pid.geoscience.gov.au/def/voc/ga/materialtype/animal_tissue,animal tissue,Material of an animal's body
4,http://pid.geoscience.gov.au/def/voc/ga/materialtype/atmospheric_dust,atmospheric dust,Fine-grained solid material collected or filtered from the atmosphere
5,http://pid.geoscience.gov.au/def/voc/ga/materialtype/bark,bark,Outermost layers of stems and roots of woody plants
6,http://pid.geoscience.gov.au/def/voc/ga/materialtype/bitumen,bitumen,Solid organic material that forms part of a rock. It can usually be extracted from the rock with organic solvent.
7,http://pid.geoscience.gov.au/def/voc/ga/materialtype/coal,coal,A readily combustible organic rock containing more than 50% by weight and more than 70% by volume of carbonaceous material.
8,http://pid.geoscience.gov.au/def/voc/ga/materialtype/coke,coke,"A solid of carbonaceous material derived from the destructive distillation of low-ash, low-sulphur bituminous coal."
9,http://pid.geoscience.gov.au/def/voc/ga/materialtype/condensate,condensate,A material that exists as gas in the subsurface but condenses into liquid at the surface.
10,http://pid.geoscience.gov.au/def/voc/ga/materialtype/coral,coral,"Hard stony substance secreted by certain marine coelenterates as an external skeleton, typically forming large reefs in warm seas"
11,http://pid.geoscience.gov.au/def/voc/ga/materialtype/crude_oil_with_water,crude oil with water,A mixture of oil and water where oil is the main phase.
12,http://pid.geoscience.gov.au/def/voc/ga/materialtype/drilling_fluid,drilling fluid,"Fluid used for drill bit lubrication and return of ground rock material from the drill bit, e.g. mud."
13,http://pid.geoscience.gov.au/def/voc/ga/materialtype/estuarine_water,estuarine water,"Water from an estuary. Depending on the nature of the estuary, the salinity may vary spatially and temporally and range from fresh, brackish, seawater or hypersaline."
14,http://pid.geoscience.gov.au/def/voc/ga/materialtype/faeces,faeces,Waste material excreted from an animal
15,http://pid.geoscience.gov.au/def/voc/ga/materialtype/foliage,foliage,"Plant leaves, especially tree leaves, considered as a group"
16,http://pid.geoscience.gov.au/def/voc/ga/materialtype/gas_in_solution,gas in solution,"A gas that that is exsolved from a liquid, such as water or oil, at the surface or under experimental conditions."
17,http://pid.geoscience.gov.au/def/voc/ga/materialtype/groundwater_with_oil,groundwater with oil,"A sample containing a mixture of water and oil and may be an immulsion. Water is the main phase and hydrocarbons (e.g. benzene, toluene) are dissolved within the water. Synonym: formation water with oil"
18,http://pid.geoscience.gov.au/def/voc/ga/materialtype/hair,hair,Hair or fur from an animal
19,http://pid.geoscience.gov.au/def/voc/ga/materialtype/ice,ice,"Frozen, solid water."
20,http://pid.geoscience.gov.au/def/voc/ga/materialtype/kerogen,kerogen,"Immobile organic matter that forms part of a rock. Kerogen cannot be extracted from the rock with organic solvents. Kerogen is concentrated in a pure form by removal of the mineral matter with strong acids (HCl, HF)."
21,http://pid.geoscience.gov.au/def/voc/ga/materialtype/lag,lag,"Deposit, commonly thin, or fragments of larger than sand size, spread over the land surface.  Its most common origin is as the coarse material left behind after fine material has been transported away by wind, or less commonly, sheet flow."
22,http://pid.geoscience.gov.au/def/voc/ga/materialtype/lake_sediment,lake sediment,A sediment deposited in a body of standing fresh water
23,http://pid.geoscience.gov.au/def/voc/ga/materialtype/marine_sediment_and_overlying_seawater,marine sediment and overlying seawater,"A marine sediment core that is collected together with the overlying water, as in a core incubation experiment, or a known area of seafloor and overlying water column, as in a chamber incubation experiment."
24,http://pid.geoscience.gov.au/def/voc/ga/materialtype/meteorite,meteorite,A rock that landed on Earth from an extraterrestrial source
