ID,IRI,PREF_LABEL,DEFINITION
1,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/airfall_dust_collector,airfall dust collector,Sample of fine-grained solid material that is passively collected by airfall from the atmosphere.
2,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/auger,auger,"Specimens collected by hand or mechanical auger which enable samples to be taken at intervals down profile. For example regolith, soil or sediment."
3,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/baited_remote_underwater_still_photograph,baited remote underwater still photograph,A photograph taken using a baited remote underwater camera.
4,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/baited_remote_underwater_video,baited remote underwater video,A video taken using a baited remote underwater video camera.
5,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/benthic_dredge,dredge benthic,Seabed sampling taken over a small area seaward of the continental shelf. Sample of the upper few cm of rocky sea floor particularly for biota.
6,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/borehole_dst_test,borehole DST test,A sample is collected during drilling by a test using a hydrostatic head to measure the formation pressures and to bring the formation fluids to the surface. The test can provide information for determination of potential petroleum producing formations and their exact depth.
7,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/borehole_logging_tool,borehole logging tool,Observation of measurement of physical properties down a borehole by an instrument in a continuous linear format.  (e.g. a gamma log)
8,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/borehole_prod_test,borehole PROD test,"A borehole sampling test similar to DST test, but on a larger scale and under the production conditions after the well completion is conducted."
9,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/borehole_wft_test,borehole WFT test,"A sample is taken from a borehole with a wireline formation tester by inserting a probe into a well wall to withdraw a small amount of formation fluid and to measure the formation pore pressure. This measurement can provide formation pressures along the well hole, thereby giving a measure of pressure with depth or along a horizontal borehole."
10,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/bottle_incubation_dark,bottle incubation dark,A method to derive the oxygen consumption rate/respiration rates of organic matter conducted in a bottle or vial  under controlled light and temperature conditions.
11,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/bottle_incubation_light,bottle incubation light,A method to derive the oxygen consumption rate/respiration rates of organic matter conducted in a bottle or vial  under controlled light and temperature conditions.
12,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/cable_tool_drilling,cable tool drilling,"A percussion drilling method that uses a heavy drilling tool that is raised and lowered with enough force to pulverise the rock, with the debris removed by a bailer."
13,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/camera,camera,The process of capturing a still image or moving scene of a feature by a video or still photographic camera
14,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/chain_bag_dredge,dredge chain bag,Sampling of large rocks from the sea floor using a chain bag
15,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/chamber_incubation_dark,chamber incubation dark,A in situ method that isolates sediment and overlying water in a dark benthic chamber. Incubation water samples are collected from the benthic chamber during the incubation. The dark chamber restricts light penetration and therefore stops the process of photosynthesis. This enables benthic respiration to be measured.
16,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/chamber_incubation_light,chamber incubation light,A in situ method that isolates sediment and overlying water in a light benthic chamber. Incubation water samples are collected from the benthic chamber during the incubation. The  transparent walls of the chamber allow light penetration and enables benthic respiration and photosynthesis to be measured.
17,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_air,core air,"Rock or sediment core derived from a dry, air-cooled diamond drilling method."
18,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_box,core box,A method that obtains a large volume or large surface area core with shallow penetration and minimum disturbance. Commonly uses a double spade system.
19,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_catcher,core catcher,A method by which a specimen of sediment is collected from the end of the core in the core catcher. The core catcher has curved finger-like projections that extend down to the lowest part of the core liner. The core catcher helps keep the sediment in the core liner when the core is being removed from the surface.
20,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_conventional,core conventional,Core drilling using diamond or tungsten carbide bit using a core barrel with fibreglass inner sleeves. Used in the oil industry.
21,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_cutter,core cutter,A method by which a specimen of sediment is collected from the lowest part of a coring assembly at the core cutter. The core cutter has sharp edges which cut and shape the sediment entering the core liner as the corer goes into the sediment.
22,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_diamond,core diamond,"Rock or sediment core drilling using a liquid-cooled, diamond or tungsten carbide bit."
23,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_drilling_unspecified,"core drilling, unspecified",Sampling of a core of earth material by an unspecified drilling method
24,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_geoprobe,core geoprobe,"High quality core extracted by hydraulic power. Used in rough terrain, soft sand, mud, shallow water, or tight, congested areas. Long high quality cores."
25,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_gravity,core gravity,Used only where short cores are required. Core barrel is gravity forced. Near surface high quality core.
26,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_incubation_dark,core incubation dark,A method whereby a sediment core is collected along with overlying water. The sediment and water are incubated under no light and controlled temperature conditions.
27,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_kasten,core Kasten,"Large volume, reletatively undisturbed sediment core (~3m long) from a Kasten Corer. The corer is constructed of stainless steel and is square in cross-section. A weight of several hundred kilograms on top of the corer pushes it 2-3 metres into the seabed. It is designed for sedimentological and geochemical sampling of fine-grained sediments. This type of corer obtains relatively undisturbed cores and can preserve the sediment/water interface. This type of core is useful for determining sediment accumulation rates."
28,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_mackereth,core Mackereth,The Mackereth is a complex coring system utilizing compressed gas to penetrate and recover single-drive moderate (up to 12 m) cores from lakes of diverse depths.  Mackereth cores can be deployed on virutally any small craft and and can be used in water depths up to 80 m.
29,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_piston,core piston,Uses a piston to drive the core barrel. High quality long cores.
30,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_press,core press,Pore water is extracted from core material under pressure.
31,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_push,core push,A pipe that is pushed into the sediment to gain a core that is no longer than 2m long. Can be used in up to 5m of water. Core pipe has a valve on top that is used to create a vacuum  at the top of the core when pulling the core out of the sediment.
32,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_rov,core ROV,A core drilled from a remotely operated vehicle
33,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_sonic,core sonic,"Similar to the vibro-core technique, the drill stem and barrel are vibrated vertically at frequencies between 50Hz and 180Hz such that the sampler barrel advances by slicing through the regolith."
34,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_spike,core spike,A core of surficial material taken by driving a spike into the ground.
35,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_vibro,core vibro,"A core tube is attached to a source of mechanical vibration (the power head) and lowered into  sediment. The vibrations provide energy for rearranging the particles within the sediment in such a way that the coretube penetrates under the static weight of the vibracoring apparatus. Samples include stiff and stony clays, soft rock and sands, and saturated sediments which can not be sampled using gravity or piston corers. Also know as VIBRA."
36,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/current_meter,current meter,A mooring deployed on the seabed for a finite time during a marine survey to measure sea-levels and current velocities near to the seafloor. Moorings may contain a suite of instruments measuring other parameters.
37,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/diamantina_dredge,dredge diamantina,"Used as a spot dredge to quickly ascertain sea bed geology. Samples give the seabed character unless it is deep when any mud is washed out during retrieval. In shallow water this dredge will return rock, mud, benthic samples and any thing else that is on the bottom."
38,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/diver_operated_underwater_still_photograph,diver-operated underwater still photograph,A photograph taken by a diver using an underwater camera.
39,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/diver_operated_underwater_video,diver-operated underwater video,A video taken by a diver using an underwater camera.
40,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/field_mapping_observation,field mapping survey,A mapping survey undertaken in a land environment. May include observations and/or sampling.
41,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/filtered_dust_collector,filtered dust collector,Sample of fine-grained solid material that is actively collected from the atmosphere by pumping and filtration.
42,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/filtration,filtration,Separation of undissolved sediment and biological particles collected from a water column by filtration. For total dissolved solids measurements the sample is filtered through a glass fibre filter under controlled conditions.  The type of filter is dependent on the method used and the purpose of the determination.
43,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/grab_eckman,grab Eckman,"The Eckman Bottom Grab sampler is designed for sampling in soft bottomed lakes and rivers composed of muck, mud or fine peat"
44,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/grab_rov,grab ROV,A grad sampling method mounted on a remotely operated vehicle.
45,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/grab_shipek,grab Shipek,Near surface unconsolidated marine sediment sample taken using the Shipek Method.
46,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/grab_smith_mcintyre,grab Smith Mcintyre,Near surface sediment grab sample. Sample has a surface area of 0.1m2. It is useful for quantitative macrobenthos sampling in either shallow or deep water.
47,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/grab_van_veen,grab Van Veen,Quantitative sample of the sediment. Van Veen grab has long arms for levering the clam shell scoop.
48,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/grainsize_separation,grainsize separation,"Separation of various size fractions of mineral or rock particles from the original specimen. For example, by using a seive."
49,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/liquid-gas_separation,liquid-gas separation,Separation of natural gas from a liquid phase at a surface separator.
50,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/marine_survey_observation,marine survey,A mapping survey undertaken in a marine environment. May include observations and/or sampling.
51,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/niskin_bottle,Niskin Bottle,Surface water/seawater collection. A device for collection of water samples from a specific depth in the water column.
52,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/outcrop_sampling,outcrop sampling,"Collection of material from a rock outcrop or subcrop at the ground surface, typically using a hammer, or feathers and wedges."
53,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/pipe_dredge,dredge pipe,"Sampling of small fragments and mud from the sea floor, using a metal pipe linked to the tow cable. Total weight of the dredge is around 25kg."
54,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/pit_or_trench_sampling,pit or trench sampling,"Collection of materials, typically regolith, near the ground surface from a pit, trench, or costean dug by spade or other mechanical means (not drilling)."
55,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/plantobenthic_sampler,plantobenthic sampler,Mounted Assembly for Planktobenthic Sampling (MAPS) - a trilayered net with a seafloor-triggered opening and closing mechanism attached to an epibenthic sled
56,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/rab_drilling,RAB drilling,"RAB, rotary air blast, or Down-the-hole drilling. Rock or sediment chips or fragments are derived from a percussion drilling method where the cuttings are blown up the outside of the rods and collected at surface, using air or a combination of air and foam lift the cuttings."
57,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/rain_gauge,rain gauge,Rainwater is collected using an approved rain gauge/collector method.
58,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/reverse_circulation_drilling,reverse circulation drilling,A drilling technique similar to rotary drilling except that drilling fluid flow down the annular space between the drilling stem and the wall of the hole forcing cuttings up through the inside of the drill stem .
59,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/rotary_drilling,rotary drilling,A drilling method using a drill stem equipped with a bit that is rotated to cut and grind the rock with a fluid pumped down the stem to force cuttings up through the annular space between the stem and the wall of the hole
60,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/rotary_hammer_drilling,rotary hammer drilling,A percussion drilling method using a cutting tool powered by compressed air that creates a rapid percussion effect coupled with rotary action to drill hard rocks.
61,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/sediment_trap,sediment trap,"Sediment traps are containers placed in the water column to collect particles falling toward the sea floor. The traps collect tiny sediment or larger accumulations called marine snow - made up of organic matter, dead sea creatures, tiny shells, dust and minerals."
62,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/sidewall_core_bullet,"sidewall core, bullet","Percussion cores are taken by firing hollow bullets into the formation. The bullets are attached to the tool by fasteners, and are retrieved, along with the core inside, by pulling up the tool and the fasteners. Percussion coring tools typically hold 20 to 30 bullets, but two or three tools can be combined on one run in the hole."
63,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/sidewall_core_mechanical,"sidewall core, mechanical","Mechanical tools use hollow rotary drills to cut and then pull out core plugs. Up to 75 plugs can be recovered on one run. With full recovery, cores from typical percussion tools are 1 in. [2.5 cm] in diameter by 1 3/4 in. [4.4 cm] long, while those from mechanical tools are 0.91 in. [2.3 cm] in diameter by 2 in. [5 cm] long. The latter are also known as rotary sidewall cores."
64,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/sonde,sonde,"A sonde (French for probe) is a water quality monitoring instrument, that may be stationary or may move up and down a water column, measuring, but not limited to, the following water attributes; temperature, conductivity, salinity, dissolved oxygen, pH, turbidity, light, flourescence and depth. This includes CTDs, light meters or any other probes. They may be lowered through the water column by hand, or mechanically (e.g. by a winch), and measurements can be taken continuously or at discrete depth intervals. The probes may be attached to a frame (e.g. a CTD frame) with other instruments (e.g. niskin bottles, cameras), or they may be stand-alone probes attached to a meter by a cable."
65,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/stereo_towed_underwater_still_photograph,stereo towed underwater still photograph,A photograph taken using a towed underwater stereo camera.
66,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/stereo_towed_underwater_video,stereo towed underwater video,A video taken using a towed underwater stereo video camera.
67,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/towed_underwater_still_photograph,towed underwater still photograph,A photograph taken using a towed underwater camera.
68,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/towed_underwater_video,towed underwater video,A video taken using a towed underwater video camera.
69,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/undergound_mine_sampling,undergound mine sampling,"Collection of material from a rock outcrop exposed beneath the ground surface (eg, a mine), typically using a hammer."
70,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/underwater_still_photograph_auv,underwater still photograph AUV,A photograph taken using a camera on an autonomous underwater vehicle.
71,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/underwater_still_photograph_rov,underwater still photograph ROV,A photograph taken using an underwater camera on a remotely operated vehicle.
72,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/underwater_video_auv,underwater video AUV,A video taken using a camera on an autonomous underwater vehicle.
73,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/underwater_video_rov,underwater video ROV,A video taken using an underwater camera on a remotely operated vehicle.
74,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/unknown,unknown,The sampling method is unknown.
75,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/airlift,airlift,Compressed air is used to extract groundwater
76,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/artesian_flow,artesian flow,Groundwater sample obtained from flowing artesian bore
77,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/electric_submersible_pump,electric submersible pump,Water is collected by pumping using an electric submersible pump
78,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/epibenthic_sled,epibenthic sled,A method designed to collect benthic and benthopelagic faunas from the deep sea. The sled is made from a steel frame consisting of two skids and stabilizing planes to keep it from sinking too deep into the mud.
79,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/helical_coil_pump,helical coil pump,Water is collected by pumping using a helical coil pump
80,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/in_situ_grab_sampler,in situ grab sampler,A point souce bailer that has a check valve at each end of the bailer allowing sample collection from a discrete depth
81,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/jet_pump,jet pump,Water is collected by pumping using a jet pump
82,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/low_flow_pump,low flow pump,Groundwater sample collected while flow is low
83,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/pump_jack,pump jack,Water is collected by pumping using a pump jack
84,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/still_photography,still photography,A still image captured by a camera.
85,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/video_photography,video photography,"Moving images captured by a video camera, either digital or film."
86,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/windmill,windmill,Water is collected by pumping from a water bore using a windmill
87,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/bailer,bailer,Bailer is a hollow tube used to retrieve groundwater samples from monitoring wells. A bailer is tied to a piece of rope or wire and lowered into the water column to collect a sample.
88,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/bottle_incubation,bottle incubation,A method to derive the oxygen consumption rate/respiration rates of organic matter conducted in a bottle or vial  under controlled light and temperature conditions.
89,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/chamber_incubation,chamber incubation,A method that isolates sediment and overlying water in a benthic chamber. Water samples are collected from the benthic chamber during the incubation.
90,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/core_incubation_light,core incubation light,A method whereby a sediment core is collected along with overlying water. The sediment and water are incubated under controlled light and temperature conditions.
91,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/marine_survey_sampling,marine survey sampling,Collection of materials from a marine or coastal survey by any method.
92,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/sidewall_core,sidewall core,A method to extract core or plug from the sidewall of a borehole.
93,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/surface_material_sampling,surface material sampling,Collection of earth materials at the ground surface on land.
94,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/underwater_camera,underwater camera,The process of capturing a still image or moving scene of an underwater feature by a video or still photographic camera.
95,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/percussion_drilling,percussion drilling,Rock or sediment chips or fragments derived from a percussion (hammer) method.
96,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/dredge,dredge,Sampling of either benthic or pelagic material using a dredge method.
97,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/grab,grab,Specimens gathered from the bed of a water body by a mechanical grab primarily for lithogical and petrographical analyses.
98,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/underwater_still_photograph,underwater still photograph,"A video/still camera used under water to take picture images /observations of the sea floor (incl. sediment, rocks and biota). Cameras can be vertically dropped from the ship, towed, hand-held by divers, or mounted on remotely operated vehicles (ROVs)."
99,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/underwater_video,underwater video,A video taken underwater.
100,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/water_pump,water pump,Water is collected by pumping
101,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/water_sampling,water sampling,Any method used to sample water.
102,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/borehole_fluid_sampling,borehole fluid sampling,"Sampling of fluids (oil, gas, or water) from a borehole by an unspecified method."
103,http://pid.geoscience.gov.au/def/voc/ga/samplingmethod/drilling,drilling,Sampling by a hole drilled into the Earth by any method
